,full_name,position,status,player_id,adp_ppr
,Fletcher Cox,DT,Active,1027,999,7.5
,Vinny Curry,DE,Active,1028,999
,Nick Foles,QB,Active,1029,700.2
,Dennis Kelly,T,Active,1031,999
,Mychal Kendricks,LB,Active,1032,999
,Brandon Bolden,RB,Active,1034,999,50.9
,Dont'a Hightower,LB,Active,1037,999
,Chandler Jones,LB,Active,1038,999,10.5
,Nigel Bradham,LB,Active,1040,999
,Stephon Gilmore,CB,Active,1043,999,6
,Cordy Glenn,T,Active,1044,999
,Lamar Miller,RB,Active,1048,999
,Ryan Tannehill,QB,Active,1049,251.5,235.54
,Demario Davis,LB,Active,1052,999,6.5
,Vontaze Burfict,LB,Active,1064,999
,Marvin Jones,WR,Active,1067,999,125.8
,Dre Kirkpatrick,CB,Active,1068,999
,Mohamed Sanu,WR,Active,1071,999
,Kevin Zeitler,OG,Active,1074,999
,Johnson Bademosi,CB,Active,1076,999
,Travis Benjamin,WR,Active,1077,999
,L.J. Fort,LB,Active,1078,999
,Tashaun Gipson,DB,Active,1079,999,6
,Mitchell Schwartz,T,Active,1083,999
,Kelvin Beachum,OL,Active,1088,999
,Zach Brown,LB,Active,1093,999
,Coty Sensabaugh,CB,Active,1095,999
,Randy Bullock,K,Active,1099,525.8,30
,Whitney Mercilus,LB,Active,1103,999
,T.Y. Hilton,WR,Active,1110,999,32.8
,Matt Overton,LS,Active,1112,999
,Bryan Anger,P,Active,1113,999
,Brandon Marshall,LB,Active,1118,999
,Julian Stanford,LB,Active,1120,999
,Aaron Brewer,LS,Active,1122,999
,Malik Jackson,DT,Active,1124,999
,Danny Trevathan,LB,Active,1127,999
,Derek Wolfe,DE,Active,1128,999
,Jeff Allen,G,Active,1129,999
,Dontari Poe,DT,Active,1131,999
,Tony Bergstrom,C,Active,1134,999
,Jack Crawford,DT,Active,1136,999
,Melvin Ingram,LB,Active,1141,999
,Cole Beasley,WR,Active,1144,999,27.7
,Morris Claiborne,CB,Active,1145,999
,Kyle Wilber,LB,Active,1148,999
,Alshon Jeffery,WR,Active,1149,649.7
,Riley Reiff,T,Active,1159,999
,Tahir Whitehead,LB,Active,1160,999
,Kirk Cousins,QB,Active,1166,106.5,294.62
,Alfred Morris,RB,Active,1170,999
,Mike Daniels,DT,Active,1174,999
,Casey Hayward,CB,Active,1175,999
,Josh Norman,CB,Active,1182,999
,Akiem Hicks,DT,Active,1186,999
,Lavonte David,LB,Active,1192,999,7
,Najee Goode,LB,Active,1193,999
,Michael Brockers,DE,Active,1197,999
,Johnny Hekker,P,Active,1202,999
,Janoris Jenkins,CB,Active,1203,999
,Trumaine Johnson,CB,Active,1204,999
,Rodney McLeod,DB,Active,1205,999
,Harrison Smith,DB,Active,1213,999,10
,Jarius Wright,WR,Active,1215,999
,Justin Bethel,DB,Active,1216,999
,Senio Kelemete,OL,Active,1220,999
,Bobby Massie,T,Active,1222,999
,Robert Turbin,RB,Active,1232,567
,Bobby Wagner,LB,Active,1233,999,6
,Russell Wilson,QB,Active,1234,155.9,280.3
,Josh Harris,LS,Active,1238,999
,Bruce Irvin,LB,Active,1242,999
,J.R. Sweezy,OG,Active,1243,999
,Josh Gordon,WR,Active,1244,999
,Josh Robinson,CB,Active,1254,999
,Olivier Vernon,DE,Active,1259,999
,David DeCastro,OG,Active,1261,999
,Justin Tucker,K,Active,1264,124.2,115
,Greg Zuerlein,K,Active,1266,999,92
,Ty Nsekhe,T,Active,1267,999
,Bradley Sowell,TE,Active,1269,999
,Francis Owusu,WR,Active,1273,582.3
,Neiko Thorpe,CB,Active,1283,999
,Lawrence Guy,DT,Active,1288,999,3
,Anthony Levine,DB,Active,1298,999
,Kyle Nelson,LS,Active,1301,999
,Josh Bellamy,WR,Active,1312,317
,Ronald Leary,G,Active,1327,999
,Russell Shepard,WR,Active,1333,470
,Damion Square,DT,Active,1334,999
,Matt Barkley,QB,Active,1338,999
,Zach Ertz,TE,Active,1339,225.3,97.3
,Lane Johnson,T,Active,1340,999
,Jordan Poyer,DB,Active,1343,999,11
,Kiko Alonso,LB,Active,1345,999
,Marquise Goodwin,WR,Active,1346,999,30.9
,Dustin Hopkins,K,Active,1348,999,39
,Robert Woods,WR,Active,1352,233.1,138.9
,Jamar Taylor,CB,Active,1359,999
,Jamie Collins,LB,Active,1364,999
,Duron Harmon,DB,Active,1366,999
,Logan Ryan,DB,Active,1367,999
,Oday Aboushi,G,Active,1368,999
,Sheldon Richardson,DT,Active,1372,999
